Time (µs) - Sample 5 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test1;;Time (µs) - Sample 5 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test2;;Time (µs) - Sample 5 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Intensity (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Intensity (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Intensity (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Number (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Number (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Number (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Volume (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Volume (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Volume (Percent) - Sample 5 [Steady state] test3
5,6;0,7577;;5,6;0,7266;;5,6;0,7978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,8;0,7516;;5,8;0,718;;5,8;0,7903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;0,7437;;6;0,7094;;6;0,7843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,2;0,7376;;6,2;0,7015;;6,2;0,7776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,4;0,7309;;6,4;0,6955;;6,4;0,7719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,8;0,7209;;6,8;0,6834;;6,8;0,7589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,2;0,7078;;7,2;0,6693;;7,2;0,7468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,6;0,6963;;7,6;0,6569;;7,6;0,7348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0,6825;;8;0,6451;;8;0,7231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,4;0,6719;;8,4;0,635;;8,4;0,7111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,8;0,6614;;8,8;0,6238;;8,8;0,6996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,2;0,6511;;9,2;0,614;;9,2;0,6894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,6;0,6407;;9,6;0,6038;;9,6;0,6792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0,6313;;10;0,5941;;10;0,6701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,4;0,6228;;10,4;0,584;;10,4;0,6601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,8;0,6136;;10,8;0,5753;;10,8;0,6517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11,2;0,6042;;11,2;0,5661;;11,2;0,6418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11,6;0,5948;;11,6;0,5569;;11,6;0,6335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;0,5864;;12;0,5482;;12;0,6246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12,4;0,5789;;12,4;0,5404;;12,4;0,6177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12,8;0,5718;;12,8;0,5329;;12,8;0,6095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13,6;0,5564;;13,6;0,518;;13,6;0,5952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14,4;0,5423;;14,4;0,5027;;14,4;0,5808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15,2;0,5286;;15,2;0,4894;;15,2;0,5678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0,5162;;16;0,4759;;16;0,5545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16,8;0,5036;;16,8;0,465;;16,8;0,5423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17,6;0,4925;;17,6;0,4533;;17,6;0,5311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18,4;0,4811;;18,4;0,4425;;18,4;0,5205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,2;0,4704;;19,2;0,4324;;19,2;0,5105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;0,4607;;20;0,4227;;20;0,5005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,8;0,4519;;20,8;0,4138;;20,8;0,4914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21,6;0,4439;;21,6;0,4041;;21,6;0,4822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22,4;0,4356;;22,4;0,3962;;22,4;0,4741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23,2;0,4278;;23,2;0,3875;;23,2;0,466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;0,4204;;24;0,3797;;24;0,4589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24,8;0,4136;;24,8;0,3717;;24,8;0,452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25,6;0,4074;;25,6;0,3647;;25,6;0,4457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27,2;0,3948;;27,2;0,3524;;27,2;0,4327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
